ID,DUTName,Impedance,Temperature,Cycle,Status,TimeStamp,TimeTicks
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,30.814,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-3-Temp,F,0,128.503,0,,2023/9/14 下午 04:20:11,6.38303052115787E+17
1-1-Temp,G,0,31.997,0,,2023/9/14 下午 04:20:12,6.38303052126011E+17
1-2-Temp,S,0,319.946,0,,2023/9/14 下午 04:20:12,6.38303052126011E+17
1-3-Temp,F,0,128.11,0,,2023/9/14 下午 04:20:12,6.38303052126011E+17
